Game,Genre,Percent_Offline,Avg_Prize_Pool_per_Tournament,Offline_Earnings,Release_Date,Total_Earnings,Total_Players,Total_Tournaments
"Warhammer 40,000: Dawn of War II",Strategy,NA,,0,2009,0,0,0
Warparty,Strategy,0,587.5,0,2019,1175,6,2
Windjammers,Strategy,0.913418986564557,353.216875,5162.16,1994,5651.47,36,16
World in Conflict,Strategy,1,26667.111818182,293338.23,2007,293338.23,38,11
World of Tanks,Strategy,0.882944756057461,66019.253191489,5479387.22,2010,6205809.8,922,94
World of Tanks Blitz,Strategy,0.947418285172904,10555,60000,2016,63330,14,6
ZeroSpace,Strategy,0,10000,0,2024,20000,11,2
After-H,First-Person Shooter,0.795679640939909,4659.077777778,66728.4,2019,83863.4,106,18
Aim Gods,First-Person Shooter,0,250000,0,2020,250000,2,1
Aliens versus Predator 2,First-Person Shooter,1,21750,43500,2001,43500,2,2
Alliance of Valiant Arms,First-Person Shooter,NA,,0,2009,0,0,0
Archangel Hellfire,First-Person Shooter,0.363636363636364,611.111111111,2000,2017,5500,14,9
Battalion 1944,First-Person Shooter,0.628410091095449,7126.023103448,129863.88,2018,206654.67,135,29
Battlefield 1,First-Person Shooter,NA,,0,2016,0,0,0
Battlefield 2,First-Person Shooter,1,7285.786153846,94715.22,2005,94715.22,0,13
Battlefield 2142,First-Person Shooter,1,4636.535,18546.14,2006,18546.14,0,4
Battlefield 3,First-Person Shooter,1,3629.637142857,25407.46,2011,25407.46,5,7
Battlefield 4,First-Person Shooter,0.864806003227617,1694.941103448,212540.31,2013,245766.46,204,145
Battlefield Hardline,First-Person Shooter,1,13463.28,13463.28,2015,13463.28,20,1
Battlefield V,First-Person Shooter,NA,,0,2018,0,0,0
Beat Aim,First-Person Shooter,0,71.666666667,0,2019,430,12,6
Big Buck Hunter Arcade,First-Person Shooter,1,76200,76200,2016,76200,3,1
Black Squad,First-Person Shooter,0,498.865882353,0,2017,8480.72,57,17
Blaston,First-Person Shooter,0.0907096039047936,891.957272727,1780,2020,19623.06,27,22
Borderlands 3,First-Person Shooter,0,50000,0,2019,50000,16,1
Brink,First-Person Shooter,1,21505.82,21505.82,2011,21505.82,5,1
Call of Duty,First-Person Shooter,1,13699.9425,54799.77,2003,54799.77,66,4
Call of Duty 2,First-Person Shooter,0.920711400043468,4417.072941176,69136.44,2005,75090.24,53,17
Call of Duty 4: Modern Warfare,First-Person Shooter,0.923832971481792,4889.761724138,393007.11,2007,425409.27,431,87
Call of Duty Online,First-Person Shooter,1,118692.75,949542,2013,949542,0,8
Call of Duty: Advanced Warfare,First-Person Shooter,0.868224361266733,6448.910938272,2267636.14,2014,2611808.93,783,405
Call of Duty: Black Ops,First-Person Shooter,0.92329749840258,16338.846956522,346969.18,2010,375793.48,118,23
Call of Duty: Black Ops 2,First-Person Shooter,0.966826909636804,27391.467592593,1430071.63,2012,1479139.25,187,54
Call of Duty: Black Ops 4,First-Person Shooter,0.984591248596247,82133.401829268,6631161.95,2018,6734938.95,389,82
Call of Duty: Black Ops Cold War,First-Person Shooter,0.534432737822568,71184.782608696,3500000,2020,6549000,299,92
Call of Duty: Black Ops III,First-Person Shooter,0.960224647280028,50510.042179487,3783077.02,2015,3939783.29,424,78
Call of Duty: Blackout,First-Person Shooter,0.524859331956472,33978.241666667,321008.35,2018,611608.35,175,18
Call of Duty: Ghosts,First-Person Shooter,0.943725260285779,20976.121710526,1504472.89,2013,1594185.25,199,76
Call of Duty: Infinite Warfare,First-Person Shooter,0.971956258406253,49603.631666667,4049855.06,2016,4166705.06,343,84
Call of Duty: Mobile,First-Person Shooter,0.697467584154626,194530.994186047,5834199.69,2019,8364832.75,471,43
Call of Duty: Modern Warfare,First-Person Shooter,0.0904655373047979,92602.277777778,678562.5,2019,7500784.5,396,81
Call of Duty: Modern Warfare 2,First-Person Shooter,0.434207420521078,5339.995,51010.64,2009,117479.89,69,22
Call of Duty: Modern Warfare 3,First-Person Shooter,0.986145284928474,23694.725714286,1144955.66,2011,1161041.56,217,49
Call of Duty: Modern Warfare II,First-Person Shooter,0.880556813811522,161082.286842105,5390000,2022,6121126.9,227,38
Call of Duty: Modern Warfare III,First-Person Shooter,0.963455149501661,401333.333333333,5800000,2023,6020000,145,15
Call of Duty: Vanguard,First-Person Shooter,0.803670305331435,69461.538461538,5080000,2021,6321000,261,91
Call of Duty: Warzone,First-Person Shooter,0.130648960080191,31785.246182266,1686000,2020,12904809.95,1279,406
Call of Duty: Warzone 2.0,First-Person Shooter,NA,,0,2022,0,0,0
Call of Duty: WWII,First-Person Shooter,0.982652766337245,59454.818181818,4498605,2017,4578021,296,77
Chex Quest,First-Person Shooter,0,100,0,1996,100,2,1
Contractors,First-Person Shooter,0,1000,0,2018,1000,20,1
Counter-Strike,First-Person Shooter,0.947230936035574,13278.908557505,12905226,2000,13624160.18,4327,1026
Counter-Strike 2,First-Person Shooter,0.682802312542125,49894.193608491,14444777.21,2023,21155138.09,2731,424
Counter-Strike Online,First-Person Shooter,1,33915.8,406989.6,2016,406989.6,70,12
Counter-Strike: Condition Zero,First-Person Shooter,1,54050.2,162150.6,2004,162150.6,111,3
Counter-Strike: Global Offensive,First-Person Shooter,0.646999974744739,23103.896880421,105130836.17,2012,162489706.76,16518,7033
Counter-Strike: Source,First-Person Shooter,0.922762900428803,9405.505407855,2872766.03,2004,3113222.29,1502,331
Critical Ops,First-Person Shooter,0.407720555670114,19621.282,40000,2015,98106.41,101,5
CrossFire,First-Person Shooter,0.866525544751512,62045.328296296,21774364.07,2007,25128357.96,1140,405
CrossFire HD,First-Person Shooter,0.710092866617987,276308.728571429,1373434,2022,1934161.1,139,7
CrossFire Mobile,First-Person Shooter,0.888111940779013,169523.61925,6022238.02,2015,6780944.77,282,40
Crysis,First-Person Shooter,1,5670.475,11340.95,2007,11340.95,0,2
Day of Defeat,First-Person Shooter,1,12795.1025,51180.41,2003,51180.41,43,4
Day of Defeat: Source,First-Person Shooter,0.731166707064044,1758.57125,10286.47,2005,14068.57,50,8
Descent 3,First-Person Shooter,1,50000,50000,1999,50000,1,1
Diabotical,First-Person Shooter,0.0974920822482669,683.175489691,25842.43,2020,265072.09,399,388
Doom (2016),First-Person Shooter,1,7000,7000,2016,7000,6,1
Doom 3,First-Person Shooter,1,64437.04,257748.16,2004,257748.16,14,4
Doom II: Hell on Earth,First-Person Shooter,0.430649732997166,638.57,2200,1994,5108.56,14,8
DOOMBRINGER,First-Person Shooter,0,141.9425,0,2017,567.77,8,4
Echo Combat,First-Person Shooter,1,46800,46800,2018,46800,16,1
Enemy Territory: Quake Wars,First-Person Shooter,1,15230.78,60923.12,2007,60923.12,27,4
Escape from Tarkov,First-Person Shooter,0,28650,0,2020,114600,150,4
EV.IO,First-Person Shooter,0.75,10000,15000,2021,20000,27,2
Evolve,First-Person Shooter,0.958520345177765,3985.122727273,126054.1,2015,131509.05,110,33
F.E.A.R.,First-Person Shooter,1,35600,178000,2005,178000,20,5
Ghost Recon Advanced Warfighter,First-Person Shooter,1,12000,24000,2006,24000,0,2
Gundam Versus,First-Person Shooter,1,280,280,2017,280,6,1
Guns of Boom,First-Person Shooter,0.955974842767296,9464.285714286,190000,2017,198750,8,21
Halo 2,First-Person Shooter,0.915537761330331,21983.276621622,1489362.47,2004,1626762.47,126,74
Halo 2 Anniversary,First-Person Shooter,1,23435.2525,468705.05,2014,468705.05,97,20
Halo 3,First-Person Shooter,0.932444074176234,53908.823255814,2161479.4,2007,2318079.4,214,43
Halo 4,First-Person Shooter,0.994776537487885,22670.987368421,428498.76,2012,430748.76,66,19
Halo 5: Guardians,First-Person Shooter,0.947247390109657,65703.953853211,6783930.97,2015,7161730.97,248,109
Halo Infinite,First-Person Shooter,0.931341297678074,120750.948793103,6522700.03,2021,7003555.03,275,58
Halo: Combat Evolved,First-Person Shooter,1,7673.871794872,299281,2001,299281,118,39
Halo: Reach,First-Person Shooter,0.922288849316356,26623.792068966,712089.97,2010,772089.97,121,29
Ironsight,First-Person Shooter,NA,,0,2018,0,0,0
Islands of Nyne,First-Person Shooter,NA,,0,2017,0,0,0
Lemnis Gate,First-Person Shooter,0,312.94,0,2021,1564.7,6,5
MechWarrior Online,First-Person Shooter,1,143490,143490,2013,143490,0,1
Metal Gear Online,First-Person Shooter,0,1000,0,2008,8000,37,8
Onward,First-Person Shooter,0.760103819058213,20227.5,123000,2016,161820,92,8
Overwatch,First-Person Shooter,0.534329154340599,41628.365265643,18840032.08,2016,35259225.38,4047,847
Overwatch 2,First-Person Shooter,0.638375724998365,93198.261159420,8210380.04,2022,12861360.04,1329,138
Painkiller,First-Person Shooter,1,78076.923076923,1015000,2004,1015000,48,13
Paladins,First-Person Shooter,0.718327460634932,31525.412658228,1789000,2015,2490507.6,571,79
Pavlov,First-Person Shooter,0,420,0,2017,1260,19,3
Pistol Whip,First-Person Shooter,0,7500,0,2019,7500,13,1
Point Blank,First-Person Shooter,0.906575381268298,16996.08125,1725721.63,2008,1903561.1,583,112
Quake 4,First-Person Shooter,0.996012511666773,10452.880925926,562204.81,2005,564455.57,107,54
Quake Champions,First-Person Shooter,0.728098672426895,12139.925,2563328.35,2017,3520578.25,334,290
Quake II,First-Person Shooter,0.995211510366952,10893.831666667,130100,1997,130725.98,37,12
Quake III Arena,First-Person Shooter,0.985133177112323,10418.313217391,1180293.99,1999,1198106.02,309,115
Quake Live,First-Person Shooter,0.876059459202786,1666.311727494,599972.93,2010,684854.12,225,411
QuakeWorld,First-Person Shooter,0.944275654423139,6557.086875,99067.16,1996,104913.39,57,16
Rage,First-Person Shooter,1,5000,5000,2011,5000,3,1
Rainbow Six Extraction,First-Person Shooter,NA,,0,2022,0,0,0
Rainbow Six Siege,First-Person Shooter,0.773758506264454,84736.842588028,37241404.36,2015,48130526.59,3070,568
Rainbow Six: Vegas,First-Person Shooter,1,25200.11,176400.77,2006,176400.77,106,7
Rainbow Six: Vegas 2,First-Person Shooter,1,9875,79000,2008,79000,0,8
Realm Royale,First-Person Shooter,0,29222.222222222,0,2018,263000,47,9
Reflex,First-Person Shooter,0.0665725663752812,273.152222222,163.66,2015,2458.37,24,9
Resistance 2,First-Person Shooter,0,50400,0,2008,50400,194,1
Return to Castle Wolfenstein,First-Person Shooter,1,37808.1,113424.3,2001,113424.3,50,3
Rust,First-Person Shooter,0,50000,0,2013,50000,46,1
S.K.I.L.L. - Special Force 2,First-Person Shooter,0.891704719753075,6706.042272727,131555.81,2013,147532.93,97,22
S.T.A.L.K.E.R.: Shadow of Chernobyl,First-Person Shooter,1,4901.26,4901.26,2007,4901.26,0,1
Shadowrun,First-Person Shooter,1,8000,24000,2007,24000,0,3
ShootMania Storm,First-Person Shooter,0.985485215060482,6095.132325581,258286.5,2013,262090.69,108,43
Snapshot VR,First-Person Shooter,0,500,0,2020,1000,15,2
Space Junkies,First-Person Shooter,0.808678500986193,7605,24600,2019,30420,33,4
Special Force,First-Person Shooter,1,43416.666666667,130250,2004,130250,0,3
Splatoon,First-Person Shooter,0,347.5,0,2015,1390,3,4
Splatoon 2,First-Person Shooter,0.966405375139978,1488.333333333,8630,2017,8930,13,6
Star Wars Jedi Knight II: Jedi Outcast,First-Person Shooter,1,7679.25,7679.25,2002,7679.25,0,1
Sudden Attack,First-Person Shooter,NA,,0,2005,0,0,0
Team Fortress 2,First-Person Shooter,0.565877315682714,3747.149855072,438928.41,2007,775660.02,1471,207
The Finals,First-Person Shooter,NA,,0,2023,0,0,0
Tower Tag,First-Person Shooter,0,1034.082,0,2020,5170.41,25,5
Uncharted 4: A Thief's End,First-Person Shooter,1,46235.07,46235.07,2016,46235.07,5,1
Unreal Tournament,First-Person Shooter,1,17800,89000,1999,89000,14,5
Unreal Tournament (2016),First-Person Shooter,0,635.62125,0,2016,5084.97,82,8
Unreal Tournament 2003,First-Person Shooter,1,10533.850714286,147473.91,2002,147473.91,33,14
Unreal Tournament 2004,First-Person Shooter,0.996391591805318,10887.27,151871.78,2004,152421.78,54,14
Unreal Tournament 3,First-Person Shooter,1,26244.455,104977.82,2007,104977.82,7,4
Vail VR,First-Person Shooter,NA,,0,2022,0,0,0
VAIL VR,First-Person Shooter,0.972222222222222,18000,35000,2022,36000,30,2
VALORANT,First-Person Shooter,0.602746508416656,24329.950889058,19298867.52,2020,32018215.37,7465,1316
Warface,First-Person Shooter,1,54777.5,109555,2013,109555,32,2
Warsow,First-Person Shooter,0,183,0,2012,183,2,1
Wolfenstein: Enemy Territory,First-Person Shooter,0.981652166905358,7831.291111111,138376.87,2003,140963.24,152,18
Xonotic,First-Person Shooter,0.001745562942375,339.432045455,26.07,2010,14935.01,96,44
Zombieland VR: Headshot Fever,First-Person Shooter,0,10000,0,2021,10000,4,1
Zula,First-Person Shooter,0.984615384615385,54166.666666667,160000,2015,162500,38,3
Arena of Valor,Multiplayer Online Battle Arena,0.957292775635343,551654.407374302,94528965.41,2015,98746138.92,2231,179
Battlerite,Multiplayer Online Battle Arena,0.429263835518363,858.2625,28000,2016,65227.95,88,76
Blankos Block Party,Multiplayer Online Battle Arena,0,250,0,2020,250,3,1
Bloodline Champions,Multiplayer Online Battle Arena,0.974816562670324,3492.11,40850,2011,41905.32,43,12
Crab Game,Multiplayer Online Battle Arena,0.957562568008705,4177.272727273,44000,2021,45950,32,11
Creative Destruction,Multiplayer Online Battle Arena,0,100000,0,2018,100000,8,1
Deadlock,Multiplayer Online Battle Arena,0,3152.5,0,2024,12610,27,4
Defense of the Ancients,Multiplayer Online Battle Arena,0.957345737881614,8744.053333333,878963.63,2003,918125.6,504,105
Dofus,Multiplayer Online Battle Arena,NA,,0,2004,0,0,0
Dota 2,Multiplayer Online Battle Arena,0.869871348927135,186381.159989659,313554838.46,2013,360461163.42,4980,1934
Dream Three Kingdoms 2,Multiplayer Online Battle Arena,NA,0,0,2015,0,0,1
Heavy Metal Machines,Multiplayer Online Battle Arena,0,12339.33,0,2017,12339.33,35,1
Heroes of Newerth,Multiplayer Online Battle Arena,0.560425114649495,7780.875240506,1722436.17,2010,3073445.72,820,395
Heroes of the Storm,Multiplayer Online Battle Arena,0.771987667217935,36491.540276680,14254535.64,2015,18464719.38,1326,506
Hyper Scape,Multiplayer Online Battle Arena,0,74750,0,2020,299000,260,4
League of Legends,Multiplayer Online Battle Arena,0.867518811516353,37865.341543333,98546688.28,2009,113596024.63,9588,3000
League of Legends: Wild Rift,Multiplayer Online Battle Arena,0.742432105236094,95670.324615385,8310360.3,2021,11193427.98,1473,117
Legend of Glory,Multiplayer Online Battle Arena,0,472.66,0,2015,472.66,0,1
Minecraft,Multiplayer Online Battle Arena,0.066371700170856,21183.515140845,199650,2011,3008059.15,613,142
MOBA Legends,Multiplayer Online Battle Arena,0,225,0,2016,225,3,1
Mobile Legends: Bang Bang,Multiplayer Online Battle Arena,0.896723012384535,109802.915290323,15261734.15,2016,17019451.87,2261,155
Onmyoji Arena,Multiplayer Online Battle Arena,1,89679.22,89679.22,2018,89679.22,5,1
Pokemon Unite,Multiplayer Online Battle Arena,0.65982283563051,45939.740983607,1849037.5,2021,2802324.2,850,61
Roblox,Multiplayer Online Battle Arena,NA,,0,2006,0,0,0
Shards of War,Multiplayer Online Battle Arena,0,1029.21,0,2015,1029.21,20,1
SMITE,Multiplayer Online Battle Arena,0.796323082449811,114364.643181818,10017832.57,2014,12580110.75,556,110
Splitgate: Arena Warfare,Multiplayer Online Battle Arena,0,90000,0,2019,360000,92,4
Teeworlds,Multiplayer Online Battle Arena,NA,,0,2007,0,0,0
Vainglory,Multiplayer Online Battle Arena,0.892689304367016,26039.4775,836825.87,2014,937421.19,262,36
Blade & Soul,Role-Playing Game,1,97000.894285714,679006.26,2012,679006.26,89,7
Cave Digger 2,Role-Playing Game,0,750,0,2021,750,4,1
Chivalry 2,Role-Playing Game,NA,,0,2021,0,0,0
Guild Wars 2,Role-Playing Game,0.735285621699749,8350.973684211,350000,2012,476005.5,152,57
Naraka: Bladepoint,Role-Playing Game,0.900298928895575,311237.894285714,3922900,2021,4357330.52,177,14
Old School Runescape,Role-Playing Game,0.0622945100831861,17596.315384615,28500,2013,457504.2,84,26
Red Stone,Role-Playing Game,1,29000,58000,2004,58000,12,2
Stardew Valley,Role-Playing Game,0,32616.666666667,0,2016,97850,69,3
Tibia,Role-Playing Game,1,952.94,952.94,1997,952.94,1,1
World of WarCraft,Role-Playing Game,0.555310422903119,40669.056044444,5081388.91,2004,9150537.61,503,225
Acceleration of SUGURI 2,Fighting Game,0.51219512195122,136.666666667,210,2018,410,8,3
Akatsuki Blitzkampf,Fighting Game,0,20,0,2007,20,3,1
Aquapazza: Aquaplus Dream Match,Fighting Game,1,122.5,245,2011,245,5,2
Arcana Heart 3,Fighting Game,1,1000,1000,2009,1000,4,1
Arcana Heart 3: Love Max Six Stars!!!!!,Fighting Game,0.912280701754386,142.5,520,2014,570,8,4
Arcana Heart 3: LOVE MAX!!!!!,Fighting Game,1,205,410,2013,410,6,2
ARMS,Fighting Game,0.600746488341337,196.206034483,13672.93,2017,22759.9,133,116
Asuka 120% LimitOver BURNING Fest.,Fighting Game,0,10,0,1998,10,3,1
Attack on Titan Tribute Game,Fighting Game,0,7243.333333333,0,2013,108650,21,15
BlazBlue: Calamity Trigger,Fighting Game,1,35,35,2008,35,3,1
BlazBlue: Central Fiction,Fighting Game,0.997204706383993,1863.031228070,105895.94,2015,106192.78,130,57
BlazBlue: Chronophantasma,Fighting Game,1,2468.038666667,37020.58,2012,37020.58,63,15
BlazBlue: Chronophantasma Extend,Fighting Game,1,447.160909091,4918.77,2015,4918.77,28,11
BlazBlue: Continuum Shift Extend,Fighting Game,NA,0,0,2011,0,3,1
BlazBlue: Continuum Shift II,Fighting Game,1,4918.202,24591.01,2010,24591.01,14,5
BlazBlue: Cross Tag Battle,Fighting Game,0.977215965919052,2294.946511628,96434.31,2018,98682.7,133,43
Bloody Roar Extreme,Fighting Game,1,1370,1370,2002,1370,3,1
Brawlhalla,Fighting Game,0.251643734482138,6116.028409742,1074264.04,2015,4268987.83,880,698
Brawlout,Fighting Game,NA,,0,2017,0,0,0
Breakers Revenge,Fighting Game,0,16,0,1998,16,3,1
Capcom vs. SNK,Fighting Game,1,70,140,2000,140,6,2
Capcom vs. SNK 2,Fighting Game,1,1081.949583333,25966.79,2001,25966.79,39,24
Chaos Code: New Sign of Catastrophe,Fighting Game,1,140,140,2013,140,3,1
Dead or Alive 4,Fighting Game,1,38288.100769231,497745.31,2005,497745.31,45,13
Dead or Alive 5,Fighting Game,NA,0,0,2012,0,4,2
Dead or Alive 5 Ultimate,Fighting Game,NA,0,0,2013,0,37,7
Dead or Alive 5: Last Round,Fighting Game,1,770.691,15413.82,2015,15413.82,46,20
Dead or Alive 6,Fighting Game,0.982855167560618,3082.978095238,63632.54,2019,64742.54,67,21
Dead or Alive Ultimate,Fighting Game,1,30000,30000,2004,30000,3,1
Def Jam: Fight for NY,Fighting Game,0.654545454545455,183.333333333,360,2004,550,6,3
Dengeki Bunko: Fighting Climax,Fighting Game,1,60,60,2014,60,3,1
Dengeki Bunko: Fighting Climax Ignition,Fighting Game,0.951853197674419,275.2,3667.3,2015,3852.8,40,14
Digimon Rumble Arena,Fighting Game,0,100,0,2001,200,5,2
Divekick,Fighting Game,1,530.909090909,5840,2013,5840,27,11
DNF Duel,Fighting Game,0.992256794430591,9934.267692308,128145.48,2022,129145.48,53,13
Dragon Ball FighterZ,Fighting Game,0.947886777408392,2835.603934426,491873.16,2018,518915.52,300,183
Dragon Ball Z: Budokai 3,Fighting Game,1,204.06,204.06,2004,204.06,3,1
Duck Game,Fighting Game,0,375,0,2014,750,5,2
Eternal Fighter Zero,Fighting Game,0,655.8,0,2000,1311.6,7,2
Fantasy Strike,Fighting Game,0.450015517776475,1159.96,2610,2019,5799.8,21,5
Fight of Animals,Fighting Game,0,157.67,0,2019,630.68,9,4
Fighter's History Dynamite,Fighting Game,1,195,195,1994,195,3,1
Fighting EX Layer,Fighting Game,0.993913424550811,234.708571429,1632.96,2018,1642.96,16,7
Garou: Mark of the Wolves,Fighting Game,0.779872781648981,164.6775,513.71,1999,658.71,13,4
Granblue Fantasy Versus: Rising,Fighting Game,0.981000731536459,7033.763636364,151802.8,2023,154742.8,79,22
Granblue Fantasy: Versus,Fighting Game,0.834152096508166,2361.331954023,171364.77,2020,205435.88,125,87
Guilty Gear,Fighting Game,1,32,32,1998,32,3,1
Guilty Gear -STRIVE-,Fighting Game,0.85669673133512,5990.076206897,595274.73,2021,694848.84,319,116
Guilty Gear Xrd -REVELATOR-,Fighting Game,1,1917.759473684,36437.43,2016,36437.43,61,19
Guilty Gear Xrd -SIGN-,Fighting Game,1,976.042564103,38065.66,2014,38065.66,82,39
Guilty Gear Xrd REV 2,Fighting Game,0.998663029191901,2176.897014925,145657.1,2017,145852.1,136,67
Guilty Gear XX,Fighting Game,NA,0,0,2002,0,5,2
Guilty Gear XX #Reload,Fighting Game,NA,0,0,2003,0,3,1
Guilty Gear XX Accent Core,Fighting Game,1,2591.25,10365,2007,10365,33,4
Guilty Gear XX Accent Core Plus,Fighting Game,NA,0,0,2008,0,3,1
Guilty Gear XX Accent Core Plus R,Fighting Game,0.60001063783491,590.882857143,12408.76,2012,20680.9,97,35
Guilty Gear XX Slash,Fighting Game,1,5125,10250,2005,10250,6,2
Hokuto no Ken,Fighting Game,1,145,145,2005,145,3,1
Hyper Street Fighter II,Fighting Game,1,10250,10250,2003,10250,8,1
HYPERFIGHT,Fighting Game,0,70,0,2019,140,4,2
Idol Showdown,Fighting Game,1,188,188,2023,188,3,1
Injustice 2,Fighting Game,0.99828933684604,22038.083157895,836014.57,2017,837447.16,81,38
Injustice: Gods Among Us,Fighting Game,1,300.657179487,35176.89,2013,35176.89,101,117
JoJo's Bizarre Adventure: All Star Battle R,Fighting Game,1,780,780,2022,780,8,1
JoJo's Bizarre Adventure: Heritage for the Future,Fighting Game,0,108.33,0,1999,324.99,8,3
Kill la Kill the Game: IF,Fighting Game,0.83695652173913,230,770,2019,920,12,4
Killer Instinct (2013),Fighting Game,0.999738994459001,4545.653220339,268123.54,2013,268193.54,137,59
King of Fighters 2002 Unlimited Match,Fighting Game,1,380,760,2009,760,6,2
King of Fighters 98,Fighting Game,1,2648.523333333,7945.57,1998,7945.57,7,3
King of Fighters XI,Fighting Game,1,25,25,2005,25,3,1
King of Fighters XIII,Fighting Game,1,1052.142727273,46294.28,2010,46294.28,106,44
King of Fighters XIV,Fighting Game,0.989737664882015,2043.941219512,82941.59,2016,83801.59,95,41
King of Fighters XV,Fighting Game,0.927611316297623,7227.708627451,341929.72,2022,368613.14,179,51
Kirby Fighters 2,Fighting Game,0,222.86,0,2020,222.86,4,1
Koihime Enbu,Fighting Game,0.915014164305949,252.142857143,1615,2016,1765,14,7
Lethal League Blaze,Fighting Game,0.297266793292605,470.326666667,1677.75,2018,5643.92,25,12
